# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -5.181399 eV
#    Energy (eV)      DOS 
        -14.42860106          1.17726053
        -14.42660106          1.20912420
        -14.42460106          1.23987608
        -14.42260106          1.26938919
        -14.42060106          1.29753948
        -14.41860106          1.32420671
        -14.41660106          1.34927530
        -14.41460106          1.37263521
        -14.41260106          1.39418274
        -14.41060106          1.41382136
        -14.40860106          1.43146241
        -14.40660106          1.44702585
        -14.40460106          1.46044086
        -14.40260106          1.47164644
        -14.40060106          1.48059195
        -14.39860106          1.48723747
        -14.39660106          1.49155425
        -14.39460106          1.49352490
        -14.39260106          1.49314362
        -14.39060106          1.49041633
        -14.38860106          1.48536060
        -14.38660106          1.47800566
        -14.38460106          1.46839219
        -14.38260106          1.45657211
        -14.38060106          1.44260821
        -14.37860106          1.42657379
        -14.37660106          1.40855216
        -14.37460106          1.38863612
        -14.37260106          1.36692733
        -14.37060106          1.34353567
        -14.36860106          1.31857855
        -14.36660106          1.29218012
        -14.36460106          1.26447057
        -14.36260106          1.23558525
        -14.36060106          1.20566394
        -14.35860106          1.17484994
        -14.35660106          1.14328933
        -14.35460106          1.11113010
        -14.35260106          1.07852138
        -14.35060106          1.04561262
        -14.34860106          1.01255289
        -14.34660106          0.97949012
        -14.34460106          0.94657039
        -14.34260106          0.91393734
        -14.34060106          0.88173153
        -14.33860106          0.85008985
        -14.33660106          0.81914507
        -14.33460106          0.78902531
        -14.33260106          0.75985367
        -14.33060106          0.73174782
        -14.32860106          0.70481968
        -14.32660106          0.67917514
        -14.32460106          0.65491384
        -14.32260106          0.63212890
        -14.32060106          0.61090683
        -14.31860106          0.59132733
        -14.31660106          0.57346322
        -14.31460106          0.55738033
        -14.31260106          0.54313745
        -14.31060106          0.53078629
        -14.30860106          0.52037143
        -14.30660106          0.51193030
        -14.30460106          0.50549319
        -14.30260106          0.50108320
        -14.30060106          0.49871628
        -14.29860106          0.49840119
        -14.29660106          0.50013950
        -14.29460106          0.50392561
        -14.29260106          0.50974670
        -14.29060106          0.51758278
        -14.28860106          0.52740663
        -14.28660106          0.53918384
        -14.28460106          0.55287279
        -14.28260106          0.56842465
        -14.28060106          0.58578345
        -14.27860106          0.60488605
        -14.27660106          0.62566225
        -14.27460106          0.64803479
        -14.27260106          0.67191952
        -14.27060106          0.69722549
        -14.26860106          0.72385508
        -14.26660106          0.75170426
        -14.26460106          0.78066273
        -14.26260106          0.81061427
        -14.26060106          0.84143701
        -14.25860106          0.87300382
        -14.25660106          0.90518268
        -14.25460106          0.93783719
        -14.25260106          0.97082703
        -14.25060106          1.00400853
        -14.24860106          1.03723531
        -14.24660106          1.07035883
        -14.24460106          1.10322919
        -14.24260106          1.13569577
        -14.24060106          1.16760803
        -14.23860106          1.19881628
        -14.23660106          1.22917249
        -14.23460106          1.25853113
        -14.23260106          1.28674998
        -14.23060106          1.31369099
        -14.22860106          1.33922108
        -14.22660106          1.36321301
        -14.22460106          1.38554609
        -14.22260106          1.40610705
        -14.22060106          1.42479067
        -14.21860106          1.44150053
        -14.21660106          1.45614960
        -14.21460106          1.46866084
        -14.21260106          1.47896768
        -14.21060106          1.48701445
        -14.20860106          1.49275676
        -14.20660106          1.49616174
        -14.20460106          1.49720827
        -14.20260106          1.49588702
        -14.20060106          1.49220052
        -14.19860106          1.48616306
        -14.19660106          1.47780052
        -14.19460106          1.46715011
        -14.19260106          1.45426005
        -14.19060106          1.43918914
        -14.18860106          1.42200626
        -14.18660106          1.40278980
        -14.18460106          1.38162702
        -14.18260106          1.35861339
        -14.18060106          1.33385177
        -14.17860106          1.30745169
        -14.17660106          1.27952848
        -14.17460106          1.25020241
        -14.17260106          1.21959784
        -14.17060106          1.18784229
        -14.16860106          1.15506561
        -14.16660106          1.12139900
        -14.16460106          1.08697423
        -14.16260106          1.05192273
        -14.16060106          1.01637480
        -14.15860106          0.98045880
        -14.15660106          0.94430042
        -14.15460106          0.90802196
        -14.15260106          0.87174172
        -14.15060106          0.83557337
        -14.14860106          0.79962546
        -14.14660106          0.76400092
        -14.14460106          0.72879666
        -14.14260106          0.69410326
        -14.14060106          0.66000464
        -14.13860106          0.62657793
        -14.13660106          0.59389323
        -14.13460106          0.56201361
        -14.13260106          0.53099504
        -14.13060106          0.50088642
        -14.12860106          0.47172968
        -14.12660106          0.44355993
        -14.12460106          0.41640560
        -14.12260106          0.39028869
        -14.12060106          0.36522502
        -14.11860106          0.34122450
        -14.11660106          0.31829150
        -14.11460106          0.29642513
        -14.11260106          0.27561962
        -14.11060106          0.25586470
        -14.10860106          0.23714598
        -14.10660106          0.21944530
        -14.10460106          0.20274116
        -14.10260106          0.18700909
        -14.10060106          0.17222201
        -14.09860106          0.15835059
        -14.09660106          0.14536367
        -14.09460106          0.13322852
        -14.09260106          0.12191121
        -14.09060106          0.11137692
        -14.08860106          0.10159023
        -14.08660106          0.09251534
        -14.08460106          0.08411641
        -14.08260106          0.07635770
        -14.08060106          0.06920382
        -14.07860106          0.06261991
        -14.07660106          0.05657179
        -14.07460106          0.05102612
        -14.07260106          0.04595051
        -14.07060106          0.04131361
        -14.06860106          0.03708525
        -14.06660106          0.03323643
        -14.06460106          0.02973943
        -14.06260106          0.02656783
        -14.06060106          0.02369652
        -14.05860106          0.02110174
        -14.05660106          0.01876105
        -14.05460106          0.01665333
        -14.05260106          0.01475877
        -14.05060106          0.01305883
        -14.04860106          0.01153623
        -14.04660106          0.01017486
        -14.04460106          0.00895980
        -14.04260106          0.00787723
        -14.04060106          0.00691439
        -14.03860106          0.00605954
        -14.03660106          0.00530189
        -14.03460106          0.00463156
        -14.03260106          0.00403952
        -14.03060106          0.00351753
        -14.02860106          0.00305811
        -14.02660106          0.00265446
        -14.02460106          0.00230041
        -14.02260106          0.00199042
        -14.02060106          0.00171947
        -14.01860106          0.00148306
        -14.01660106          0.00127714
        -14.01460106          0.00109810
        -14.01260106          0.00094270
        -14.01060106          0.00080807
        -14.00860106          0.00069163
        -14.00660106          0.00059113
        -14.00460106          0.00050454
        -14.00260106          0.00043010
        -14.00060106          0.00036623
        -13.99860106          0.00031157
        -13.99660106          0.00026491
        -13.99460106          0.00022520
        -13.99260106          0.00019154
        -13.99060106          0.00016311
        -13.98860106          0.00013926
        -13.98660106          0.00011938
        -13.98460106          0.00010299
        -13.98260106          0.00008967
        -13.98060106          0.00007907
        -13.97860106          0.00007091
        -13.97660106          0.00006497
        -13.97460106          0.00006109
        -13.97260106          0.00005916
        -13.97060106          0.00005909
        -13.96860106          0.00006089
        -13.96660106          0.00006458
        -13.96460106          0.00007024
        -13.96260106          0.00007800
        -13.96060106          0.00008803
        -13.95860106          0.00010056
        -13.95660106          0.00011588
        -13.95460106          0.00013434
        -13.95260106          0.00015636
        -13.95060106          0.00018242
        -13.94860106          0.00021310
        -13.94660106          0.00024907
        -13.94460106          0.00029109
        -13.94260106          0.00034004
        -13.94060106          0.00039691
        -13.93860106          0.00046287
        -13.93660106          0.00053920
        -13.93460106          0.00062739
        -13.93260106          0.00072910
        -13.93060106          0.00084622
        -13.92860106          0.00098088
        -13.92660106          0.00113546
        -13.92460106          0.00131265
        -13.92260106          0.00151545
        -13.92060106          0.00174723
        -13.91860106          0.00201175
        -13.91660106          0.00231320
        -13.91460106          0.00265624
        -13.91260106          0.00304605
        -13.91060106          0.00348838
        -13.90860106          0.00398959
        -13.90660106          0.00455671
        -13.90460106          0.00519751
        -13.90260106          0.00592053
        -13.90060106          0.00673517
        -13.89860106          0.00765175
        -13.89660106          0.00868156
        -13.89460106          0.00983697
        -13.89260106          0.01113147
